Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
News001.wav,"七百九十一篇，用族語寫公文，蔡英文,","Tshit-pah káu-tsa̍p-it phinn, iōng tso̍k-gí siá kong-bûn, Tshuà Ing-bûn,",,
News001.wav,原住民轉型正義伐大步。,Guân-tsū-bîn tsuán-hîng tsìng-gī hua̍h tuā pōo,,
News002.wav,是按怎欲揀這篇：,Sī án-tsuánn beh kíng tsit phinn:,,
News002.wav,今仔日是原住民日，,"kin-á-ji̍t sī guân-tsū-bîn-ji̍t ,",,
News002.wav,紀念原住民族正名，,"kì-liām guân-tsū-bîn-tso̍k tsiànn-miâ,",,
News002.wav,無閣用有歧視意思的稱呼。,bô koh īng ū kî-sī ì-sù ê tshing-hoo.,,
News003.wav,到今，,"Kàu-tann,",,
News003.wav,原住民會當使用家己的母語寫公文，,"guân-tsū-bîn ē-tàng sú-iōng ka-kī ê bú-gí siá kong-bûn,",,
News003.wav,確實是轉型正義閣再伐一大步。,khak-si̍t sī tsuán-hîng tsìng-gī koh-tsài hua̍h tsi̍t tuā pōo.,,
News004.wav,多元文化欲受人肯定，,"To-guân bûn-huà beh siū lâng khíng-tīng,",,
News004.wav,語言佇公領域的呈現是真重要的開始。,gí-giân tī kong líng-hi̍k ê thîng-hiān sī tsin tiōng-iàu ê khai-sí.,,
News005.wav,這馬是原住民族語，,"Tsit-má sī guân-tsū-bîn tso̍k-gí ,",,
News005.wav,向望未來客家語、臺語攏有機會。,"ǹg-bāng bī-lâi Kheh-ka-gí , Tâi-gí lóng ū ki-huē.",,
News006.wav,從屏東縣長潘孟安七月十八,Tsîng Pîn-tong  kuān-tiúnn  Phuann Bīng-an  tshit gue̍h tsa̍p-peh,,
News006.wav,家己批改第一份Rukai語公文了，,"ka-kī phue-kái tē-it hūn Rukai gí kong-bûn liáu,",,
News007.wav,十九蔡英文總統佇面冊頂面分享一份Amis,tsa̍p-káu Tshuà Ing-bûn tsóng-thóng tī bīn-tsheh tíng-bīn hun-hióng tsi̍t hūn Amis,,
News007.wav,（Pangcah；『阿美』）族「全族語」的公文，,"( Pangcah ; ‘ A-bí ’) tso̍k “tsuân tso̍k-gí ” ê kong-bûn,",,
News008.wav,並且表示：,pīng-tshiánn piáu-sī:,,
News008.wav,「這是這个國家的第一擺，,"“Tse sī tsit ê kok-ka ê tē-it pái,",,
News008.wav,嘛代表原住民族轉型正義伐出重要的頭一步。」,mā tāi-piáu guân-tsū-bîn-tso̍k tsuán-hîng tsìng-gī hua̍h tshut tiōng-iàu ê thâu tsi̍t pōo.”,,
News009.wav,屏東縣政府發佈第一篇由,Pîn-tong-kuān tsìng-hú huat-pòo tē-it phinn iû,,
News009.wav,縣長潘孟安家己批改的Rukai族公文，,"kuan-tiúnn Phuann Bīng-an ka-kī phue-kái ê Rukai tso̍k kong-bûn,",,
News010.wav,內容是通知全戶恢復傳統名姓，,"luē-iông sī thong-ti tsuân hōo khue-ho̍k thuân-thóng miâ-sènn,",,
News010.wav,欲佇聯合收獲節活動接受褒獎。,beh tī liân-ha̍p siu-hi̍k-tsiat ua̍h-tāng tsiap-siū po-tsióng.,,
News011.wav,潘孟安也表示，,"Phuann Bīng-an iā piáu-sī,",,
News011.wav,第一份族語公文結合,tē-it hūn tso̍k-gí kong-bûn kiat-ha̍p,,
News011.wav,屏東縣獎勵推捒的恢復傳統名姓，,"Pîn-tong-kuān tsióng-lē tshui-sak ê khue-ho̍k thuân-thóng miâ-sènn,",,
News011.wav,特別有意義。,ti̍k-pia̍t ū ì-gī.,,
News012.wav,總統蔡英文嘛佇面冊分享,Tsóng-thóng Tshuà Ing-bûn mā tī bīn-tsheh hun-hióng,,
News012.wav,一份對花蓮縣光復鄉公所發出來，,"tsi̍t hūn uì Hua-liân-kuān  Kong-ho̍k hiong-kong-sóo huat--tshut-lâi,",,
News012.wav,用Amis族語寫的，,"īng Amis  tso̍k-gí siá--ê,",,
News012.wav,欲通知族人來領土地的權利證明書的公文。,beh thong-ti tso̍k-jîn lâi niá thóo-tē ê khuân-lī tsìng-bîng-su ê kong-bûn.,,
